广东汕头,#genre#
Astro Premier League 1,http://tv.ilovest.xyz/Smart.php?id=go_assp1
Astro EPL 1 backup,http://tv.ilovest.xyz/Smart.php?id=go_assp1x
Astro Premier League 2,http://tv.ilovest.xyz/Smart.php?id=go_assp2
Astro Grandstand,http://tv.ilovest.xyz/Smart.php?id=go_assp3
Astro Football,http://tv.ilovest.xyz/Smart.php?id=go_assp4
Astro Sports Plus,http://tv.ilovest.xyz/Smart.php?id=go_sportsplus
Astro Badminton 1,http://tv.ilovest.xyz/Smart.php?id=go_badminton1
Astro Badminton 2,http://tv.ilovest.xyz/Smart.php?id=go_badminton2
Astro W-Sports,http://tv.ilovest.xyz/Smart.php?id=go_assp5
Supersports 1,http://tv.ilovest.xyz/Smart.php?id=Assp1
Supersports 2,http://tv.ilovest.xyz/Smart.php?id=Assp2
Supersports 3,http://tv.ilovest.xyz/Smart.php?id=Assp3
Supersports 4,http://tv.ilovest.xyz/Smart.php?id=Assp4
WWE,http://tv.ilovest.xyz/Smart.php?id=Wwe
Fight Sports,http://tv.ilovest.xyz/Smart.php?id=Fs
NBA TV,http://tv.ilovest.xyz/Smart.php?id=Nba
Astro Cricket,http://tv.ilovest.xyz/Smart.php?id=Acricket
Astro Golf,http://tv.ilovest.xyz/Smart.php?id=Agolf
Tnt Sports 1,http://tv.ilovest.xyz/Smart.php?id=6fac0aaead
TNT Sports 2,http://tv.ilovest.xyz/Smart.php?id=d9a76a79cc
TNT Sports 3,http://tv.ilovest.xyz/Smart.php?id=5fea4d73db
TNT Sports 4,http://tv.ilovest.xyz/Smart.php?id=tntsport4
Sony Ten 1,http://tv.ilovest.xyz/Smart.php?id=ten1_raj
Sony Ten 2,http://tv.ilovest.xyz/Smart.php?id=ten2_raj
Sony Ten 3,http://tv.ilovest.xyz/Smart.php?id=ten3_raj
SPOTV 1 HD,http://tv.ilovest.xyz/Smart.php?id=go_spotv
SPO TV 2,http://tv.ilovest.xyz/Smart.php?id=go_spotv2
Skysports F1,http://tv.ilovest.xyz/Smart.php?id=tiankongf1
